Wavelength,Region0,Region1,Region2,Region3
469.974,0.223913,0.278498,0.378532,0.396511
470.613,0.230833,0.275316,0.380705,0.379933
471.252,0.222066,0.281902,0.401312,0.371184
471.891,0.224128,0.283187,0.37368,0.349667
472.53,0.233973,0.284879,0.374679,0.406237
473.169,0.233198,0.278042,0.391686,0.402904
473.808,0.20937,0.305567,0.385768,0.368595
474.447,0.216968,0.299762,0.408002,0.380115
475.086,0.219361,0.28465,0.383182,0.381694
475.725,0.215534,0.27311,0.396534,0.384541
476.364,0.21733,0.28594,0.366769,0.402905
477.004,0.222495,0.28012,0.407125,0.386333
477.643,0.225784,0.279294,0.366667,0.37364
478.282,0.230846,0.285948,0.368026,0.381591
478.921,0.216785,0.275281,0.372856,0.36969
479.56,0.229188,0.297773,0.352016,0.381166
480.199,0.214824,0.299377,0.357437,0.377489
480.838,0.221965,0.277827,0.402272,0.386524
481.477,0.210546,0.282086,0.380009,0.359934
482.116,0.206397,0.301662,0.387593,0.338539
482.755,0.209259,0.308565,0.389036,0.358408
483.394,0.222974,0.274356,0.388063,0.361337
484.033,0.206802,0.287159,0.374513,0.383863
484.672,0.219668,0.2824,0.370747,0.378579
485.311,0.207041,0.281221,0.379199,0.372109
485.95,0.214032,0.282407,0.38421,0.379855
486.589,0.211976,0.299012,0.383508,0.397596
487.228,0.210463,0.277669,0.385251,0.364241
487.867,0.199709,0.28914,0.356987,0.385786
488.506,0.204144,0.281995,0.370607,0.367298
489.145,0.199909,0.262214,0.3592,0.374438
489.784,0.218328,0.2923,0.364228,0.393847
490.423,0.198874,0.275071,0.379791,0.375472
491.062,0.196729,0.266439,0.376575,0.408785
491.701,0.209446,0.297238,0.375633,0.406927
492.34,0.205941,0.285078,0.398887,0.390745
492.979,0.197552,0.255103,0.374593,0.357535
493.618,0.204644,0.262432,0.387513,0.356686
494.257,0.202983,0.250287,0.369661,0.355185
494.896,0.204071,0.268836,0.386518,0.36105
495.535,0.192738,0.281924,0.374994,0.383378
496.174,0.202044,0.292692,0.397375,0.392778
496.813,0.19332,0.260982,0.370906,0.377005
497.452,0.194659,0.27497,0.374808,0.383094
498.092,0.195864,0.283456,0.377612,0.364171
498.731,0.188165,0.290425,0.376399,0.363187
499.37,0.199609,0.288088,0.37735,0.359095
500.009,0.194746,0.296645,0.366809,0.360188
500.648,0.196001,0.273759,0.356272,0.361477
501.287,0.205257,0.273237,0.380392,0.392538
501.926,0.199596,0.277218,0.371623,0.348577
502.565,0.191169,0.284012,0.394602,0.357633
503.204,0.198145,0.280204,0.390363,0.347188
503.843,0.196253,0.276925,0.3936,0.369383
504.482,0.202454,0.282632,0.379231,0.344023
505.121,0.188619,0.281387,0.381479,0.349077
505.76,0.197276,0.272881,0.381871,0.356561
506.399,0.194065,0.278222,0.353831,0.391693
507.038,0.193304,0.276,0.374173,0.365274
507.677,0.195101,0.292157,0.375439,0.368325
508.316,0.185287,0.293193,0.388629,0.34496
508.955,0.193379,0.298343,0.362742,0.377358
509.594,0.211507,0.290782,0.36284,0.396909
510.233,0.194425,0.285221,0.370978,0.385433
510.872,0.201822,0.282515,0.384464,0.334621
511.511,0.193266,0.296741,0.373025,0.394622
512.15,0.183204,0.290163,0.395862,0.362464
512.789,0.198292,0.290757,0.369436,0.366386
513.428,0.191716,0.31032,0.374747,0.355648
514.067,0.199522,0.304803,0.360187,0.351515
514.706,0.203187,0.282037,0.375172,0.343224
515.345,0.194981,0.287404,0.366612,0.318145
515.984,0.199879,0.303763,0.384487,0.352157
516.623,0.208224,0.259651,0.3803,0.34528
517.262,0.191172,0.289653,0.356511,0.336351
517.901,0.1895,0.271038,0.379633,0.353944
518.541,0.197682,0.298905,0.379952,0.364983
519.18,0.191024,0.287402,0.36508,0.355585
519.819,0.19317,0.277925,0.359548,0.349704
520.458,0.206,0.288066,0.381889,0.369241
521.097,0.20143,0.296018,0.379718,0.3552
521.736,0.202224,0.272633,0.374273,0.369307
522.375,0.186329,0.293798,0.363359,0.378511
523.014,0.198295,0.279311,0.392236,0.353765
523.653,0.190956,0.276582,0.368907,0.331327
524.292,0.194011,0.287858,0.377577,0.361901
524.931,0.186314,0.296354,0.383218,0.357865
525.57,0.197519,0.290928,0.374171,0.357496
526.209,0.189231,0.279562,0.37666,0.341561
526.848,0.187812,0.275133,0.353266,0.360002
527.487,0.192957,0.2978,0.382424,0.363466
528.126,0.204564,0.295862,0.385901,0.355513
528.765,0.200422,0.295511,0.385267,0.365271
529.404,0.19812,0.305902,0.393542,0.353192
530.043,0.19926,0.288443,0.361093,0.374167
530.682,0.201515,0.284937,0.398359,0.378956
531.321,0.205784,0.288518,0.392096,0.373541
531.96,0.203597,0.306446,0.369267,0.362431
532.599,0.197305,0.285155,0.3903,0.400349
533.238,0.198484,0.291324,0.386923,0.387093
533.877,0.198776,0.31975,0.389752,0.373627
534.516,0.196574,0.281484,0.393619,0.363583
535.155,0.195292,0.29138,0.374417,0.373832
535.794,0.201019,0.302414,0.38131,0.367561
536.433,0.197952,0.274654,0.361482,0.36725
537.072,0.202562,0.283722,0.389209,0.373737
537.711,0.193778,0.288535,0.386471,0.364226
538.35,0.20098,0.292335,0.38235,0.366331
538.99,0.19891,0.279237,0.380431,0.350741
539.629,0.204546,0.28536,0.38096,0.344972
540.268,0.194896,0.275941,0.37432,0.367597
540.907,0.207869,0.298826,0.40334,0.376598
541.546,0.207797,0.274176,0.380758,0.356514
542.185,0.205978,0.291576,0.378679,0.375144
542.824,0.200223,0.312315,0.39024,0.356437
543.463,0.202567,0.296685,0.382732,0.352644
544.102,0.20513,0.281201,0.386915,0.35659
544.741,0.210343,0.298653,0.388874,0.349793
545.38,0.2022,0.290776,0.398134,0.361527
546.019,0.203983,0.294616,0.387859,0.362003
546.658,0.202224,0.315324,0.383639,0.350562
547.297,0.200307,0.292604,0.387248,0.383277
547.936,0.207355,0.298682,0.381769,0.356855
548.575,0.200221,0.277536,0.391884,0.374855
549.214,0.205446,0.283889,0.370332,0.362996
549.853,0.193939,0.288266,0.36658,0.358867
550.492,0.196623,0.2903,0.369395,0.358476
551.131,0.207634,0.281749,0.378209,0.340371
551.77,0.207292,0.285038,0.370828,0.363136
552.409,0.216075,0.270077,0.370396,0.37396
553.048,0.208679,0.292574,0.377407,0.353741
553.687,0.20141,0.279971,0.379336,0.368011
554.326,0.201432,0.283847,0.370756,0.355796
554.965,0.201844,0.297192,0.370819,0.341601
555.604,0.213929,0.289304,0.367971,0.342928
556.243,0.207035,0.299771,0.367144,0.364215
556.882,0.208513,0.294507,0.383437,0.371101
557.521,0.208717,0.279968,0.359461,0.364054
558.16,0.205586,0.282078,0.390113,0.347848
558.799,0.210236,0.294858,0.382442,0.370362
559.438,0.210141,0.290815,0.373363,0.350253
560.078,0.21364,0.287764,0.384962,0.329604
560.717,0.212719,0.285444,0.387455,0.351862
561.356,0.213004,0.285701,0.368228,0.348301
561.995,0.207662,0.298381,0.375359,0.356639
562.634,0.204639,0.281159,0.370527,0.354665
563.273,0.215045,0.279873,0.373054,0.347589
563.912,0.207392,0.291565,0.359962,0.358303
564.551,0.212649,0.28064,0.370966,0.369009
565.19,0.209142,0.291251,0.375864,0.346865
565.829,0.200284,0.285576,0.379215,0.350011
566.468,0.211757,0.299091,0.366092,0.362527
567.107,0.211109,0.288679,0.347739,0.341454
567.746,0.206054,0.273861,0.381546,0.35329
568.385,0.213296,0.287196,0.383317,0.362645
569.024,0.208803,0.302716,0.382477,0.326275
569.663,0.207863,0.30182,0.388745,0.337095
570.302,0.212128,0.297234,0.361313,0.342702
570.941,0.203903,0.284086,0.384205,0.357178
571.58,0.206383,0.283362,0.379977,0.359106
572.219,0.207839,0.285212,0.374102,0.362739
572.858,0.206223,0.29009,0.376449,0.339915
573.497,0.208054,0.287838,0.370008,0.34764
574.136,0.214235,0.280387,0.359598,0.341873
574.775,0.212775,0.282506,0.383331,0.348776
575.414,0.215312,0.279839,0.370528,0.340371
576.053,0.216681,0.289185,0.364905,0.364265
576.692,0.212412,0.292456,0.381002,0.34174
577.331,0.21483,0.281512,0.369643,0.342526
577.97,0.215029,0.285134,0.372464,0.332745
578.609,0.213481,0.289422,0.366256,0.357835
579.248,0.20618,0.28332,0.366056,0.344121
579.887,0.21177,0.28927,0.36977,0.315377
580.527,0.218587,0.283432,0.369925,0.339259
581.166,0.213323,0.284393,0.375003,0.329416
581.805,0.20727,0.275648,0.365778,0.337668
582.444,0.212618,0.29788,0.372419,0.356543
583.083,0.217598,0.290334,0.362684,0.348774
583.722,0.209174,0.286376,0.340611,0.33642
584.361,0.205135,0.28232,0.363914,0.344069
585.639,0.215623,0.271686,0.362966,0.336469
585,0.202104,0.276008,0.360621,0.342446
586.278,0.208088,0.292695,0.369594,0.329788
586.917,0.218142,0.29314,0.370188,0.335575
587.556,0.211022,0.293214,0.374471,0.326733
588.195,0.214246,0.28644,0.374431,0.355888
588.834,0.219659,0.299668,0.367488,0.33798
589.473,0.219635,0.296461,0.368971,0.327687
590.112,0.218447,0.273613,0.354858,0.330412
590.751,0.216284,0.2971,0.371666,0.345873
591.39,0.220366,0.291996,0.366503,0.317517
592.029,0.215672,0.285848,0.36142,0.313008
592.668,0.220726,0.286741,0.375194,0.329236
593.307,0.213094,0.284405,0.37021,0.341037
593.946,0.217513,0.284763,0.369526,0.330003
594.585,0.217712,0.299836,0.380121,0.329531
595.224,0.214644,0.291294,0.371834,0.325735
595.863,0.218287,0.283823,0.37111,0.327872
596.502,0.216713,0.277692,0.362123,0.335249
597.141,0.216715,0.286585,0.358727,0.319367
597.78,0.213863,0.281879,0.374127,0.318777
598.419,0.216503,0.279668,0.364361,0.331419
599.058,0.214515,0.284653,0.363582,0.317466
599.697,0.218248,0.29689,0.362498,0.323539
600.336,0.215809,0.29077,0.363024,0.339563
600.976,0.22144,0.290822,0.354278,0.331077
601.615,0.220687,0.298229,0.345881,0.33499
602.254,0.217184,0.290084,0.370653,0.340145
602.893,0.212764,0.282106,0.36482,0.328896
603.532,0.219476,0.272247,0.362211,0.324579
604.171,0.217588,0.29669,0.359287,0.334254
604.81,0.218129,0.279134,0.35699,0.312549
